cik,fyear,status_label,3_current_assets,3_total_assets,3_cost_of_goods_sold,3_total_long_term_debt,3_depreciation_and_amortization,3_ebit,3_ebitda,3_gross_profit,3_inventory,3_total_current_liabilities,3_net_income,3_retained_earnings,3_total_receivables,3_total_revenue,3_market_value,3_total_liabilities,3_net_sales,3_total_operating_expenses,2_current_assets,2_total_assets,2_cost_of_goods_sold,2_total_long_term_debt,2_depreciation_and_amortization,2_ebit,2_ebitda,2_gross_profit,2_inventory,2_total_current_liabilities,2_net_income,2_retained_earnings,2_total_receivables,2_total_revenue,2_market_value,2_total_liabilities,2_net_sales,2_total_operating_expenses,1_current_assets,1_total_assets,1_cost_of_goods_sold,1_total_long_term_debt,1_depreciation_and_amortization,1_ebit,1_ebitda,1_gross_profit,1_inventory,1_total_current_liabilities,1_net_income,1_retained_earnings,1_total_receivables,1_total_revenue,1_market_value,1_total_liabilities,1_net_sales,1_total_operating_expenses
C2538,2009,alive,45.542,84.772,5.5870000000000015,0.0,1.011,-9.984,-8.972999999999997,-3.702,1.27,1.032,-10.341,-39.022,0.565,1.885,241.3824,1.469,1.885,10.858,30.04,67.389,25.59,0.0,1.499,-28.566,-27.067,-22.695,0.0,4.391,-23.532,-28.756,1.187,2.895,38.3008,4.8210000000000015,2.895,29.962,21.796,88.09100000000002,0.6459999999999999,0.0,1.291,-4.276,-2.985,1.3230000000000002,0.0409999999999999,1.831,-2.7430000000000003,-4.596,0.5670000000000001,1.969,269.3172,3.214,1.969,4.954
C2539,2011,alive,158.898,211.507,119.768,0.0,2.58,14.851,17.430999999999994,47.256,48.912,61.606,13.967,71.00399999999998,52.539,167.024,88.445,61.606,167.024,149.593,142.845,180.526,78.263,0.0,2.016,19.967,21.983,44.465,39.705,69.094,15.469,52.445,37.51300000000001,122.728,119.7798,69.295,122.728,100.745,92.613,126.483,36.989,0.0,1.321,13.709,15.03,26.697,34.336,48.255,12.974,34.063,23.385,63.68600000000001,183.441,48.645,63.68600000000001,48.65600000000001
C2540,2003,alive,181.522,2617.263,188.933,980.885,288.16,149.067,437.227,526.0369999999998,0.0,256.725,69.107,-6.231,86.934,714.97,2016.5354,1456.365,714.97,277.743,144.529,2233.541,146.381,799.3580000000003,213.054,12.53,225.584,281.603,0.0,155.597,-28.566,-18.567,73.54899999999998,427.984,1389.2320000000002,1101.535,427.984,202.4,102.698,1604.216,84.021,429.224,131.033,55.324,186.357,235.348,0.0,89.333,49.82100000000001,42.194,61.808,319.369,903.8136,683.92,319.369,133.012
C2541,2011,alive,123.751,215.271,297.295,0.0,17.886,30.867,48.753,74.624,54.265,29.212,17.787,108.292,20.522,371.919,823.3645,37.315,371.919,323.166,109.416,208.832,262.346,0.0,17.959,28.415,46.374,71.462,33.534,27.795,17.500999999999998,90.505,14.852,333.80800000000005,545.2496,36.332,333.80800000000005,287.434,98.534,204.803,247.316,0.0,17.279,22.167,39.446,63.95399999999999,25.936,31.346,19.252,73.002,15.209,311.27,437.0184,39.747,311.27,271.824
C2542,2003,alive,123.963,164.44299999999996,83.69,1.2819999999999998,4.45,-5.314,-0.8640000000000001,128.164,9.925,31.439,-4.774,-149.39700000000005,37.919,211.854,845.1586,43.25899999999999,211.854,212.718,130.03,160.803,89.64299999999999,3.161,3.193,-30.278,-27.085,88.065,21.06,39.292,-29.163,-144.436,36.319,177.708,340.7385,45.214,177.708,204.793,195.694,209.341,47.146,4.255,2.001,-53.853,-51.852,24.709,6.649,67.285,-52.86600000000001,-115.589,21.26,71.855,980.4432,75.80199999999998,71.855,123.707
C2543,2010,failed,217.18400000000003,424.47,256.381,427.04,63.048,-55.038,8.01,82.404,54.941,57.355,-465.437,-1096.1760000000004,76.484,338.785,121.6861,485.599,338.785,330.775,237.857,824.309,207.398,357.42800000000005,46.08600000000001,-36.061,10.025,64.45,34.89,65.623,-265.208,-488.901,53.303,271.848,313.7931,428.666,271.848,261.823,257.309,1001.761,74.917,373.75,18.156,-57.644,-39.488,37.042,23.5,100.517,-84.935,-219.585,38.881,111.959,525.9513,482.082,111.959,151.447
C2544,2008,failed,45.422,766.7660000000003,77.867,0.0,239.786,-35.306,204.48,278.385,0.0,620.78,-52.212,-67.20100000000001,33.494,356.25199999999984,43.3121,709.6469999999997,356.25199999999984,151.77200000000005,66.508,814.8560000000001,82.26,484.501,289.454,-79.786,209.668,372.389,0.0,128.048,-79.955,-14.989,52.139,454.649,374.8612,712.8860000000003,454.649,244.981,140.572,1003.845,83.06200000000003,317.0,282.842,-21.712,261.13,366.48800000000006,0.0,181.904,-50.4,63.972,132.401,449.55,952.9172,631.575,449.55,188.42
C2545,2005,alive,43.848,97.305,17.256,0.0,1.274,-4.053999999999999,-2.78,-2.78,0.0,16.558,-1.452,-0.5489999999999999,1.46,14.476,51.057,19.844,14.476,17.256,41.118,94.273,16.324,0.0,1.042,-3.018,-1.976,-1.976,0.0,17.557000000000002,-4.008,-0.73,0.986,14.348,52.7031,19.596,14.348,16.324,53.975,100.561,15.079,0.0,0.948,-2.9,-1.952,-1.952,0.0,11.771,7.8370000000000015,2.428,5.933,13.127,51.5151,13.384,13.127,15.079
C2546,2009,failed,1977.65,7460.694,1758.3339999999994,1949.771,269.191,-202.686,66.505,66.505,331.584,929.963,402.812,-2020.975,152.569,1824.839,2017.9359,3222.307,1824.839,1758.3339999999994,4361.395,10635.153,12533.739,2871.4440000000004,336.531,-317.06,19.471,19.471,315.001,2945.178,-739.675,-2461.106,1120.644,12553.21,2021.9191,6857.509,12553.21,12533.739,2784.667,9456.53,9886.739,2902.3459999999995,424.432,897.553,1321.985,1321.985,285.408,1603.184,365.107,-1738.5839999999994,1082.746,11208.723999999998,9041.7792,4979.496,11208.723999999998,9886.739
C2547,2014,alive,1295.336,1973.952,2722.182,423.301,84.852,-64.655,20.197,1457.5929999999994,0.0,816.6110000000001,-203.22,-86.759,887.084,4179.775,1252.7005,1291.008,4179.775,4159.578,1345.6229999999996,2082.062,2915.975,266.646,72.40100000000002,19.45,91.851,1524.905,0.0,1060.191,-76.658,170.657,977.885,4440.88,1641.5125,1379.325,4440.88,4349.029,1312.065,2074.057,3020.988,277.972,61.179,84.395,145.57399999999996,1586.533,0.0,895.071,-100.506,304.598,898.809,4607.521,1532.7965,1249.875,4607.521,4461.947
C2548,2006,alive,166.99,207.318,46.019,0.0,3.701,-4.012,-0.311,24.119,25.715,15.443,1.395,56.48,12.469,70.138,223.4453,15.602,70.138,70.449,174.43599999999995,200.252,28.519,0.0,5.807,-2.6910000000000003,3.116,27.459,15.318,11.744000000000002,0.941,55.17100000000001,9.481,55.978,212.2595,11.944,55.978,52.862,168.887,199.967,27.264,0.0,5.384,-3.397,1.987,29.879,8.649,12.307,-1.307,54.23,8.566,57.143,235.6935,12.707,57.143,55.15600000000001
C2549,2008,failed,19.329,50.304,19.079,9.205,1.926,-14.165,-12.239,2.88,6.537999999999999,33.734,-26.064,-57.147,2.141,21.959,8.6942,42.93899999999999,21.959,34.198,29.564,69.015,44.29600000000001,10.787,1.611,-9.868,-8.257,10.672,13.616,28.243,-7.017,-30.50800000000001,8.523,54.968,35.7875,39.03,54.968,63.225,19.803,38.169,42.924,3.085,1.164,1.2819999999999998,2.446,16.868,7.356,11.224,2.506,-23.083,9.106,59.792,44.5412,14.309,59.792,57.346
C2550,2007,alive,170.614,259.286,31.553,0.0,7.403,-36.476,-29.073,-29.073,0.0,45.745,-63.182,-742.194,149.563,2.48,163.6741,257.685,2.48,31.553,44.589,56.729,21.354,0.0,7.896,-22.292,-14.396,27.196,0.0,11.725,-23.498,-679.107,0.31,48.55,218.7577,14.046,48.55,62.94600000000001,60.7,79.314,27.033,0.0,8.145,-5.061,3.084,45.698,0.265,21.909,-6.181,-655.738,1.686,72.73100000000002,215.7328,24.362,72.73100000000002,69.64699999999999
C2551,2004,alive,19.825,25.755,2.842,0.0,1.209,-15.777,-14.568,3.406,0.775,4.51,-10.074,-118.554,1.225,6.2479999999999976,10.4233,17.155,6.2479999999999976,20.816,1.936,9.576,1.245,0.0,1.251,-16.375999999999998,-15.125,2.926,0.301,4.117,-17.419,-108.771,0.445,4.171,9.6712,7.896,4.171,19.296,11.098,19.19400000000001,0.977,0.0,1.209,-25.408,-24.199,1.555,0.374,2.419,-24.911,-91.819,0.903,2.532,7.1414,3.45,2.532,26.731
C2552,2003,alive,39.933,50.349,2.281,0.0,0.8959999999999999,-0.779,0.1169999999999999,12.969,0.907,3.878,-0.138,-6.1110000000000015,3.18,15.25,82.4925,3.88,15.25,15.133,49.139,50.53,2.414,0.0,0.972,-6.689,-5.7170000000000005,12.032,1.032,3.3280000000000003,-7.099,-5.702999999999999,1.724,14.446,48.3707,3.3280000000000003,14.446,20.163,52.43,53.88800000000001,3.806,0.0,0.4529999999999999,-4.505,-4.052,12.964,0.805,1.868,-2.567,1.396,2.117,16.77,94.14,1.872,16.77,20.822
C2553,2007,alive,145.39700000000005,174.97400000000005,18.557,15.0,6.379,-59.074,-52.695,18.413,1.49,24.568,-55.442,-189.111,0.209,36.97,549.3769,67.271,36.97,89.665,74.863,102.173,30.57800000000001,14.149,9.033,-41.779,-32.746,14.425,1.645,18.856,-39.614,-133.925,1.359,45.003,336.4664,33.532,45.003,77.749,96.565,127.952,30.02,10.0,8.027999999999999,-24.786,-16.758,15.486,2.153,16.13,-23.244,-94.319,0.68,45.506,242.3421,28.537,45.506,62.264
C2554,2006,alive,21.019,27.571,4.518,0.015,0.679,-4.252,-3.573,2.865,0.304,1.879,-3.819,-142.322,1.787,7.382999999999999,37.7754,1.894,7.382999999999999,10.956,24.404,36.345,3.3480000000000003,2.86,1.361,-15.063,-13.702,0.181,0.986,4.296,-13.466,-138.547,1.4340000000000002,3.529,19.0481,7.3,3.529,17.230999999999998,37.889,51.517,3.854,5.435,1.3730000000000002,-13.463,-12.09,1.747,0.474,3.524,-13.269,-125.017,1.222,5.601,40.4314,9.178,5.601,17.691
C2555,2008,alive,94.556,108.437,27.824,0.0,1.504,4.64,6.144,64.628,4.506,13.13,13.509,-34.861,12.152,92.452,260.7365,14.998,92.452,86.30799999999998,82.006,86.49,24.507,0.0,1.199,-8.897,-7.697999999999999,46.397,5.7929999999999975,11.005,-5.524,-48.512,11.456,70.904,228.0076,13.001,70.904,78.602,80.086,85.51899999999998,16.180999999999994,0.0,1.103,-9.923,-8.82,35.5,2.798,9.227,-7.258999999999999,-43.087,8.326,51.681,134.3633,10.771,51.681,60.50100000000001
C2556,2005,alive,283.961,750.418,268.686,211.099,17.639,129.055,146.694,380.98,92.84,92.494,76.685,283.301,112.5,649.6659999999998,1679.6241,348.265,649.6659999999998,502.972,254.707,646.558,242.83,219.58900000000003,14.593,114.349,128.942,331.146,93.689,93.292,62.112,204.562,104.148,573.976,1167.0248,347.786,573.976,445.034,227.192,611.659,224.266,274.008,12.61,111.97,124.58,302.125,84.23899999999998,94.496,57.452,132.668,103.565,526.391,959.805,403.674,526.391,401.811
C2557,2011,alive,0.5670000000000001,2.946,1.628,0.412,1.554,-1.757,-0.203,2.805,0.0,1.348,-9.662,-9.795,0.2789999999999999,4.433,1.2221,1.76,4.433,4.636,1.246,13.119000000000002,4.3210000000000015,0.5589999999999999,1.414,-1.113,0.301,5.228,0.0,1.801,-0.944,-0.094,0.6559999999999999,9.549,8.1314,2.36,9.549,9.248,2.605,15.903,3.808,0.0,0.471,0.956,1.4269999999999998,7.667000000000002,0.0,4.163,0.286,0.88,2.019,11.475,6.2621,4.163,11.475,10.048
C2558,2004,alive,55.345,126.142,86.119,0.0,6.397,-8.33,-1.933,48.684,3.207,14.447,-12.95,4.31,30.017,134.803,254.1739,16.608,134.803,136.736,65.596,142.553,79.86399999999998,5.019,6.231,-7.971,-1.74,39.789,2.729,15.095,-6.3610000000000015,17.508,22.365,119.653,378.9503,22.053,119.653,121.393,68.913,143.30700000000004,96.816,0.0,6.962999999999999,-14.349,-7.386,43.334,1.893,17.365,-13.385,24.038,31.088,140.15,212.7422,19.573,140.15,147.536
C2559,2004,alive,101.627,192.908,4.099,0.0,5.803,-15.9,-10.097,53.934,3.272,68.107,-9.533,-4.825,29.939,58.033,197.0214,87.709,58.033,68.13,106.86,110.544,1.681,0.0,1.146,8.71,9.856,46.819,0.0,40.646,8.67,4.708,11.444,48.5,259.539,46.728,48.5,38.644,93.645,96.417,2.079,0.003,0.879,14.308,15.187,50.445,0.0,37.535,13.35,-3.962,11.963,52.524,379.5608,43.968,52.524,37.337
C2560,2003,alive,485.066,1078.998,1115.757,357.236,34.957,150.214,185.171,281.016,0.0,296.686,74.471,126.634,230.171,1396.773,1664.1253,653.922,1396.773,1211.602,346.89300000000014,739.059,922.553,230.747,25.836,101.443,127.279,204.006,0.0,216.272,44.231,49.768,233.105,1126.559,629.6592,447.019,1126.559,999.28,276.485,650.845,776.295,261.649,32.29,79.72800000000002,112.018,182.661,0.0,149.736,29.681,4.03,218.393,958.956,740.1142,411.385,958.956,846.938
C2561,2010,alive,1117.064,4610.982,2505.501,1303.852,422.92,-7.697,415.223,505.36300000000006,289.027,663.065,-166.58700000000005,403.757,307.682,3010.864,5452.7178,2830.52,3010.864,2595.641,1314.565,3799.671,2120.083,1295.555,284.168,189.527,473.695,571.076,269.826,444.935,104.433,633.42,132.123,2691.159,3621.8501,2543.388,2691.159,2217.464,1235.496,3675.836,2233.03,1463.6429999999998,269.171,410.573,679.7439999999998,756.7589999999999,233.168,504.153,56.24800000000001,539.134,239.887,2989.789,1178.3279,2639.202,2989.789,2310.045
C2562,2010,failed,168.53799999999995,1781.785,269.603,0.0,86.087,-5.171,80.916,117.558,27.643,1442.5929999999994,-216.662,-240.592,35.53,387.161,291.1773,1449.739,387.161,306.245,108.528,1445.257,166.516,1018.609,75.957,67.708,143.665,184.004,14.605,56.194,-11.995,-26.199,21.129,350.52,407.1535,1080.348,350.52,206.855,141.703,1577.225,129.453,990.5,46.544,96.686,143.23,196.615,6.678,88.39200000000002,29.807,-19.204,22.532,326.068,624.7908,1121.4260000000004,326.068,182.838
C2563,2010,alive,0.4629999999999999,2.216,1.713,0.0,0.457,-1.818,-1.361,-0.556,0.0,1.279,-1.99,-49.805,0.122,1.157,0.376,1.548,1.157,2.518,0.521,4.134,2.4,0.0,0.649,-3.068,-2.419,-1.349,0.0,1.194,-2.835,-47.782,0.119,1.051,1.484,1.442,1.051,3.47,1.941,7.572,26.247,0.0,1.477,-26.708,-25.231,-23.855,0.0,1.811,-30.997,-44.945,1.114,2.392,2.9681,2.045,2.392,27.623
